"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"602","X9P294R3Dm3","DNEG3","P294","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.0863,0.5076
"603","X9P259R1D0","D0","P259","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Lactobacillales",0.0456,0.5062
"604","X9P308R4D0","D0","P308","INFnm","Fecal or Fecal swab","D0_INFnm","Micrococcales",0.035,0.5007
"605","X9P261R1Dm3","DNEG3","P261","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Gammaproteobacteria_unclassified",0.09,0.5
"606","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Lactobacillales",0.045,0.4996
"607","X9P275R2Dm3","DNEG3","P275","INFfeed","Fecal Swab","DNEG3_INFfeed","Enterobacteriales",0.0988,0.4938
"608","X9P272R2Dm3","DNEG3","P272","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0986,0.4931
"609","X9P311R4D7","D7","P311","INFnm","Fecal","D7_INFnm","Bifidobacteriales",0.0493,0.4926
"610","X9P261R1D0","D0","P261","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Lactobacillales",0.044,0.4891
"611","X9P258R1Dm3","DNEG3","P258","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0864,0.4801
"612","X9P283R2Dm3","DNEG3","P283","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0957,0.4784
"613","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Gammaproteobacteria_unclassified",0.0239,0.4784
"614","X9P300R3Dm3","DNEG3","P300","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.081,0.4766
"615","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Selenomonadales",0.0803,0.4724
"616","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Bifidobacteriales",0.0471,0.4714
"617","X9P268R2Dm3","DNEG3","P268","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0941,0.4703
