"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"1113","X9P305R3D7","D7","P305","INFinject","Fecal","D7_INFinject","Tenericutes",0.0015,0.0154,"keep"
"1114","X9P314R4D7","D7","P314","INFnm","Fecal","D7_INFnm","Tenericutes",0.0015,0.0154,"keep"
"1115","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Bacteria_unclassified",8e-04,0.0154,"keep"
"1116","X9P272R2D7","D7","P272","INFfeed","Fecal","D7_INFfeed","Bacteria_unclassified",0.0015,0.0154,"keep"
"1117","X9P291R3D7","D7","P291","INFinject","Fecal or Fecal swab","D7_INFinject","Bacteria_unclassified",0.0015,0.0154,"keep"
"1118","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Planctomycetes",8e-04,0.0154,"keep"
"1119","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Planctomycetes",8e-04,0.0154,"keep"
"1120","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Planctomycetes",8e-04,0.0154,"keep"
"1121","X9P304R3D7","D7","P304","INFinject","Fecal","D7_INFinject","Planctomycetes",0.0015,0.0154,"keep"
"1122","X9P313R4D7","D7","P313","INFnm","Fecal","D7_INFnm","Planctomycetes",0.0015,0.0154,"keep"
"1123","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Cyanobacteria",8e-04,0.0154,"keep"
"1124","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Cyanobacteria",8e-04,0.0154,"keep"
"1125","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Cyanobacteria",8e-04,0.0154,"keep"
"1126","X9P272R2D7","D7","P272","INFfeed","Fecal","D7_INFfeed","Cyanobacteria",0.0015,0.0154,"keep"
"1127","X9P282R2D7","D7","P282","INFfeed","Fecal","D7_INFfeed","Cyanobacteria",0.0015,0.0154,"keep"
"1128","X9P322R4D7","D7","P322","INFnm","Fecal","D7_INFnm","Cyanobacteria",0.0015,0.0154,"keep"
"1129","X9P290R3Dm3","DNEG3","P290","INFinject","Fecal Swab","DNEG3_INFinject","Epsilonbacteraeota",0.0023,0.0137,"keep"
"1130","X9P307R4Dm3","DNEG3","P307","INFnm","Fecal Swab","DNEG3_INFnm","Tenericutes",0.0023,0.0137,"keep"
"1131","X9P321R4Dm3","DNEG3","P321","INFnm","Fecal Swab","DNEG3_INFnm","Bacteria_unclassified",0.0023,0.0137,"keep"
"1132","X9P306R4Dm3","DNEG3","P306","INFnm","Fecal Swab","DNEG3_INFnm","Kiritimatiellaeota",0.0023,0.0137,"keep"
"1133","X9P293R3Dm3","DNEG3","P293","INFinject","Fecal Swab","DNEG3_INFinject","Epsilonbacteraeota",0.0023,0.0136,"keep"
"1134","X9P289R3Dm3","DNEG3","P289","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0023,0.0136,"keep"
"1135","X9P296R3Dm3","DNEG3","P296","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0023,0.0136,"keep"
"1136","X9P301R3Dm3","DNEG3","P301","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0023,0.0136,"keep"
"1137","X9P317R4Dm3","DNEG3","P317","INFnm","Fecal Swab","DNEG3_INFnm","Actinobacteria",0.0023,0.0136,"keep"
"1138","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Actinobacteria",0.0023,0.0136,"keep"
"1139","X9P320R4Dm3","DNEG3","P320","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetes",0.0023,0.0136,"keep"
"1140","X9P305R3Dm3","DNEG3","P305","INFinject","Fecal Swab","DNEG3_INFinject","Tenericutes",0.0023,0.0136,"keep"
"1141","X9P291R3Dminus3","DNEG3","P291","INFinject","Fecal or Fecal swab","DNEG3_INFinject","Bacteria_unclassified",0.0023,0.0136,"keep"
"1142","X9P305R3Dm3","DNEG3","P305","INFinject","Fecal Swab","DNEG3_INFinject","Bacteria_unclassified",0.0023,0.0136,"keep"
"1143","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Bacteria_unclassified",0.0023,0.0136,"keep"
"1144","X9P310R4Dm3","DNEG3","P310","INFnm","Fecal Swab","DNEG3_INFnm","Planctomycetes",0.0023,0.0136,"keep"
"1145","X9P305R3Dm3","DNEG3","P305","INFinject","Fecal Swab","DNEG3_INFinject","Cyanobacteria",0.0023,0.0136,"keep"
"1146","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Cyanobacteria",0.0023,0.0136,"keep"
"1147","X9P262R1Dm3","DNEG3","P262","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Epsilonbacteraeota",0.0023,0.0129,"keep"
"1148","X9P251R1Dm3","DNEG3","P251","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.0023,0.0129,"keep"
"1149","X9P263R1Dm3","DNEG3","P263","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.0023,0.0129,"keep"
"1150","X9P254R1Dm3","DNEG3","P254","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Tenericutes",0.0023,0.0129,"keep"
"1151","X9P262R1Dm3","DNEG3","P262","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Tenericutes",0.0023,0.0129,"keep"
"1152","X9P249R1Dm3","DNEG3","P249","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteria_unclassified",0.0023,0.0129,"keep"
"1153","X9P254R1Dm3","DNEG3","P254","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Planctomycetes",0.0023,0.0129,"keep"
"1154","X9P255R1Dm3","DNEG3","P255","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Planctomycetes",0.0023,0.0129,"keep"
"1155","X9P253R1Dm3","DNEG3","P253","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Cyanobacteria",0.0023,0.0129,"keep"
"1156","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Cyanobacteria",8e-04,0.0129,"keep"
"1157","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Cyanobacteria",8e-04,0.0129,"keep"
"1158","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Kiritimatiellaeota",8e-04,0.0129,"keep"
"1159","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Kiritimatiellaeota",8e-04,0.0129,"keep"
"1160","X9P259R1Dm3","DNEG3","P259","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteria_unclassified",0.0023,0.0128,"keep"
"1161","X9P286R3D0","D0","P286","INFinject","Fecal or Fecal swab","D0_INFinject","Epsilonbacteraeota",0.0015,0.0119,"keep"
"1162","X9P295R3D0","D0","P295","INFinject","Fecal or Fecal swab","D0_INFinject","Spirochaetes",0.0015,0.0119,"keep"
"1163","X9P286R3D0","D0","P286","INFinject","Fecal or Fecal swab","D0_INFinject","Planctomycetes",0.0015,0.0119,"keep"
"1164","X9P286R3D0","D0","P286","INFinject","Fecal or Fecal swab","D0_INFinject","Kiritimatiellaeota",0.0015,0.0119,"keep"
"1165","X9P304R3D0","D0","P304","INFinject","Fecal or Fecal swab","D0_INFinject","Epsilonbacteraeota",0.0015,0.0118,"keep"
"1166","X9P305R3D0","D0","P305","INFinject","Fecal or Fecal swab","D0_INFinject","Bacteria_unclassified",0.0015,0.0118,"keep"
"1167","X9P267R2Dm3","DNEG3","P267","INFfeed","Fecal Swab","DNEG3_INFfeed","Actinobacteria",0.0023,0.0116,"keep"
"1168","X9P280R2Dm3","DNEG3","P280","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetes",0.0023,0.0116,"keep"
"1169","X9P269R2Dm3","DNEG3","P269","INFfeed","Fecal Swab","DNEG3_INFfeed","Tenericutes",0.0023,0.0116,"keep"
"1170","X9P275R2Dm3","DNEG3","P275","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteria_unclassified",0.0023,0.0116,"keep"
"1171","X9P277R2Dm3","DNEG3","P277","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteria_unclassified",0.0023,0.0116,"keep"
"1172","X9P273R2Dm3","DNEG3","P273","INFfeed","Fecal Swab","DNEG3_INFfeed","Planctomycetes",0.0023,0.0116,"keep"
"1173","X9P269R2Dm3","DNEG3","P269","INFfeed","Fecal Swab","DNEG3_INFfeed","Cyanobacteria",0.0023,0.0116,"keep"
"1174","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Epsilonbacteraeota",8e-04,0.0111,"keep"
"1175","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Verrucomicrobia",8e-04,0.0111,"keep"
"1176","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Planctomycetes",8e-04,0.0111,"keep"
"1177","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Planctomycetes",8e-04,0.0111,"keep"
"1178","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Spirochaetes",8e-04,0.011,"keep"
"1179","X9P320R4D0","D0","P320","INFnm","Fecal or Fecal swab","D0_INFnm","Tenericutes",8e-04,0.011,"keep"
"1180","X9P289R3D4","D4","P289","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteria_unclassified",8e-04,0.011,"keep"
"1181","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteria_unclassified",8e-04,0.011,"keep"
"1182","X9P310R4D0","D0","P310","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteria_unclassified",8e-04,0.011,"keep"
"1183","X9P289R3D4","D4","P289","INFinject","Fecal or Fecal swab","D4_INFinject","Planctomycetes",8e-04,0.011,"keep"
"1184","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Planctomycetes",8e-04,0.011,"keep"
"1185","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Cyanobacteria",8e-04,0.011,"keep"
"1186","X9P322R4D0","D0","P322","INFnm","Fecal or Fecal swab","D0_INFnm","Cyanobacteria",8e-04,0.011,"keep"
"1187","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Epsilonbacteraeota",8e-04,0.0097,"keep"
"1188","X9P261R1D7","D7","P261","NONINFnm","Fecal","D7_NONINFnm","Epsilonbacteraeota",8e-04,0.0097,"keep"
"1189","X9P261R1D7","D7","P261","NONINFnm","Fecal","D7_NONINFnm","Cyanobacteria",8e-04,0.0097,"keep"
"1190","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Spirochaetes",8e-04,0.0096,"keep"
"1191","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Tenericutes",8e-04,0.0096,"keep"
"1192","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Bacteria_unclassified",8e-04,0.0096,"keep"
"1193","X9P263R1D7","D7","P263","NONINFnm","Fecal","D7_NONINFnm","Cyanobacteria",8e-04,0.0096,"keep"
"1194","X9P265R1D7","D7","P265","NONINFnm","Fecal","D7_NONINFnm","Cyanobacteria",8e-04,0.0096,"keep"
