"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"596","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Actinobacteria",0.0062,0.1236,"keep"
"597","X9P284R2D7","D7","P284","INFfeed","Fecal","D7_INFfeed","Actinobacteria",0.0124,0.1236,"keep"
"598","X9P280R2D0","D0","P280","INFfeed","Fecal or Fecal swab","D0_INFfeed","Spirochaetes",0.0062,0.1232,"keep"
"599","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Proteobacteria",0.0062,0.1231,"keep"
"600","X9P289R3Dm3","DNEG3","P289","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetes",0.0209,0.1229,"keep"
"601","X9P254R1Dm3","DNEG3","P254","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Proteobacteria",0.0209,0.1228,"keep"
"602","X9P296R3D4","D4","P296","INFinject","Fecal or Fecal swab","D4_INFinject","Actinobacteria",0.0085,0.1221,"keep"
"603","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Epsilonbacteraeota",0.0085,0.121,"keep"
"604","X9P322R4Dm3","DNEG3","P322","INFnm","Fecal Swab","DNEG3_INFnm","Epsilonbacteraeota",0.0201,0.1181,"keep"
"605","X9P253R1Dm3","DNEG3","P253","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.0201,0.118,"keep"
"606","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Verrucomicrobia",0.0047,0.1168,"keep"
"607","X9P324R4D7","D7","P324","INFnm","Fecal","D7_INFnm","Proteobacteria",0.0116,0.1159,"keep"
"608","X9P324R4D7","D7","P324","INFnm","Fecal","D7_INFnm","Spirochaetes",0.0116,0.1159,"keep"
"609","X9P295R3D7","D7","P295","INFinject","Fecal","D7_INFinject","Proteobacteria",0.0116,0.1157,"keep"
"610","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Actinobacteria",0.0046,0.1155,"keep"
"611","X9P278R2Dm3","DNEG3","P278","INFfeed","Fecal Swab","DNEG3_INFfeed","Actinobacteria",0.0231,0.1155,"keep"
"612","X9P319R4Dm3","DNEG3","P319","INFnm","Fecal Swab","DNEG3_INFnm","Epsilonbacteraeota",0.0193,0.1136,"keep"
"613","X9P305R3Dm3","DNEG3","P305","INFinject","Fecal Swab","DNEG3_INFinject","Epsilonbacteraeota",0.0192,0.1131,"keep"
"614","X9P278R2Dm3","DNEG3","P278","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetes",0.0223,0.1116,"keep"
"615","X9P322R4D0","D0","P322","INFnm","Fecal or Fecal swab","D0_INFnm","Tenericutes",0.0077,0.1101,"keep"
"616","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Tenericutes",0.0077,0.1099,"keep"
"617","X9P292R3Dm3","DNEG3","P292","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0186,0.1092,"keep"
"618","X9P247R1Dm3","DNEG3","P247","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Verrucomicrobia",0.0186,0.1092,"keep"
"619","X9P307R4Dm3","DNEG3","P307","INFnm","Fecal Swab","DNEG3_INFnm","Verrucomicrobia",0.0186,0.1092,"keep"
"620","X9P262R1Dm3","DNEG3","P262","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Proteobacteria",0.0185,0.109,"keep"
"621","X9P253R1Dm3","DNEG3","P253","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Proteobacteria",0.0185,0.1089,"keep"
"622","X9P306R4Dm3","DNEG3","P306","INFnm","Fecal Swab","DNEG3_INFnm","Actinobacteria",0.0185,0.1089,"keep"
"623","X9P280R2Dm3","DNEG3","P280","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0216,0.1079,"keep"
"624","X9P323R4D7","D7","P323","INFnm","Fecal","D7_INFnm","Verrucomicrobia",0.0108,0.1079,"keep"
"625","X9P303R3D7","D7","P303","INFinject","Fecal or Fecal swab","D7_INFinject","Cyanobacteria",0.0108,0.1079,"keep"
"626","X9P274R2D7","D7","P274","INFfeed","Fecal or Fecal swab","D7_INFfeed","Proteobacteria",0.0108,0.1078,"keep"
"627","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Proteobacteria",0.0054,0.1077,"keep"
"628","X9P264R1D7","D7","P264","NONINFnm","Fecal","D7_NONINFnm","Actinobacteria",0.0085,0.1059,"keep"
