"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"371","X9P304R3D7","D7","P304","INFinject","Fecal","D7_INFinject","Clostridiales",0.1501,1.5012
"372","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.2527,1.4866
"373","X9P288R3Dm3","DNEG3","P288","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.2512,1.4774
"374","X9P294R3Dm3","DNEG3","P294","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.2488,1.4638
"375","X9P305R3D0","D0","P305","INFinject","Fecal or Fecal swab","D0_INFinject","Clostridiales",0.1901,1.4627
"376","X9P261R1D7","D7","P261","NONINFnm","Fecal","D7_NONINFnm","Selenomonadales",0.1165,1.4564
"377","X9P250R1D0","D0","P250","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Lactobacillales",0.1292,1.4359
"378","X9P299R3Dm3","DNEG3","P299","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.244,1.4355
"379","X9P296R3Dm3","DNEG3","P296","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.2435,1.4321
"380","X9P249R1Dm3","DNEG3","P249","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Selenomonadales",0.2427,1.4275
"381","X9P261R1Dm3","DNEG3","P261","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Selenomonadales",0.2425,1.4264
"382","X9P322R4Dm3","DNEG3","P322","INFnm","Fecal Swab","DNEG3_INFnm","Selenomonadales",0.2425,1.4263
"383","X9P277R2Dm3","DNEG3","P277","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.2836,1.4181
"384","X9P269R2D0","D0","P269","INFfeed","Fecal or Fecal swab","D0_INFfeed","Lactobacillales",0.0701,1.4022
"385","X9P250R1Dm3","DNEG3","P250","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Clostridiales",0.2381,1.4003
"386","X9P290R3Dm3","DNEG3","P290","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.2376,1.3977
"387","X9P261R1D0","D0","P261","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Clostridiales",0.1255,1.3942
"388","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Clostridiales",0.1254,1.3932
"389","X9P252R1Dm3","DNEG3","P252","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Clostridiales",0.234,1.3763
"390","X9P300R3Dm3","DNEG3","P300","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.2338,1.3753
"391","X9P324R4D7","D7","P324","INFnm","Fecal","D7_INFnm","Mollicutes_RF39",0.1368,1.3679
"392","X9P258R1D0","D0","P258","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Clostridiales",0.1231,1.3675
"393","X9P310R4Dm3","DNEG3","P310","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.2313,1.3606
"394","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Selenomonadales",0.0952,1.36
"395","X9P270R2Dm3","DNEG3","P270","INFfeed","Fecal Swab","DNEG3_INFfeed","Selenomonadales",0.2717,1.3587
"396","X9P290R3D0","D0","P290","INFinject","Fecal or Fecal swab","D0_INFinject","Clostridiales",0.1756,1.3505
"397","X9P255R1Dm3","DNEG3","P255","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Clostridiales",0.2294,1.3495
"398","X9P317R4Dm3","DNEG3","P317","INFnm","Fecal Swab","DNEG3_INFnm","Selenomonadales",0.2292,1.348
"399","X9P290R3D0","D0","P290","INFinject","Fecal or Fecal swab","D0_INFinject","Bacteroidales",0.1748,1.3445
"400","X9P273R2Dm3","DNEG3","P273","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.2689,1.3444
"401","X9P274R2Dm3","DNEG3","P274","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.2676,1.338
"402","X9P325R4D7","D7","P325","INFnm","Fecal","D7_INFnm","Selenomonadales",0.1334,1.3344
"403","X9P252R1Dm3","DNEG3","P252","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Selenomonadales",0.2263,1.3309
"404","X9P290R3D4","D4","P290","INFinject","Fecal or Fecal swab","D4_INFinject","Clostridiales",0.0931,1.3297
"405","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bacteroidales",0.0531,1.3269
"406","X9P275R2Dm3","DNEG3","P275","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.2654,1.3269
"407","X9P306R4Dm3","DNEG3","P306","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.2253,1.3253
"408","X9P281R2Dm3","DNEG3","P281","INFfeed","Fecal Swab","DNEG3_INFfeed","Selenomonadales",0.265,1.3251
"409","X9P291R3Dminus3","DNEG3","P291","INFinject","Fecal or Fecal swab","DNEG3_INFinject","Selenomonadales",0.2251,1.3243
"410","X9P249R1Dm3","DNEG3","P249","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Clostridiales",0.225,1.3233
"411","X9P300R3Dm3","DNEG3","P300","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.2245,1.3208
